"NilaiMatW","NilaiMatM","NilaiFis","NilaiKim","NilaiBio","NilaiInd","NilaiIng","Status"
"90","100","82","95","84","93","88","1"
"83","79","91","88","79","95","100","0"
"92","84","88","78","77","76","97","0"
"82","77","98","85","78","100","99","0"
"78","92","100","100","99","80","97","1"
"100","76","92","99","97","76","84","1"
"77","87","93","80","79","90","98","0"
"100","79","97","81","87","82","94","1"
"84","95","98","79","97","99","96","1"
"100","100","86","98","94","99","81","1"
"82","84","95","85","94","82","81","0"
"98","94","82","89","77","77","88","1"
"92","94","100","92","81","81","78","1"
"86","96","86","77","89","81","89","1"
"83","97","77","95","85","91","91","1"
"86","97","86","97","95","82","77","1"
"80","79","90","82","97","84","84","0"
"82","97","100","92","98","95","85","1"
"85","84","91","88","87","97","80","0"
"89","93","82","82","86","94","76","0"
"93","97","98","83","98","89","100","1"
"97","100","77","99","77","97","100","1"
"91","94","76","79","98","90","98","1"
"79","91","91","96","83","92","85","1"
"82","82","81","100","80","88","93","0"
"84","80","99","79","93","93","77","0"
"92","77","100","82","81","81","98","1"
"90","85","82","93","88","85","83","1"
"76","97","82","99","92","85","86","1"
"93","79","81","78","77","89","88","0"
"76","76","82","87","89","95","93","0"
"91","86","82","79","90","86","90","0"
"88","91","88","77","94","80","100","1"
"98","92","95","88","77","89","95","1"
"96","78","89","95","98","95","98","1"
"86","95","98","76","86","78","88","1"
"83","92","91","97","81","78","99","1"
"87","86","77","90","80","79","88","0"
"89","81","84","94","82","83","85","0"
"92","86","89","90","89","83","97","1"
"76","97","83","91","84","81","82","0"
"76","97","79","91","94","79","80","0"
"78","81","82","80","79","91","85","0"
"77","77","94","91","83","92","80","0"
"82","99","77","93","76","88","86","0"
"92","94","91","84","98","94","96","1"
"98","81","97","93","80","87","95","1"
"89","94","96","83","94","87","78","1"
"87","93","96","87","83","88","77","1"
"90","80","97","77","88","81","90","0"
"100","81","88","81","96","89","96","1"
"100","77","84","83","86","87","83","0"
"100","87","94","86","86","76","95","1"
"81","95","99","81","100","90","91","1"
"82","80","92","94","80","77","99","0"
"80","81","94","92","84","96","94","1"
"77","97","83","86","78","83","95","0"
"96","94","85","77","95","88","99","1"
"78","76","97","77","81","92","84","0"
"76","97","81","91","92","76","82","0"
"92","78","76","96","90","97","94","1"
"84","89","85","84","92","93","91","1"
"99","96","88","97","80","93","89","1"
"86","87","86","97","97","88","88","1"
"88","89","93","96","87","88","99","1"
"99","80","91","82","84","82","79","0"
"94","98","79","91","81","86","100","1"
"77","92","81","95","76","89","100","0"
"96","84","90","84","92","93","86","1"
"89","89","100","100","83","93","82","1"
"83","98","93","80","87","83","80","1"
"87","91","84","87","99","88","99","1"
