"NilaiMatW","NilaiMatM","NilaiFis","NilaiKim","NilaiBio","NilaiInd","NilaiIng","Status"
"99","81","97","86","87","87","77","1"
"83","89","82","79","100","99","77","1"
"84","89","97","88","96","80","76","1"
"86","85","92","81","86","82","97","1"
"77","87","91","97","83","82","100","1"
"80","83","89","96","93","91","97","1"
"95","95","92","99","100","87","96","1"
"96","91","97","83","94","87","100","1"
"95","97","76","91","100","88","78","1"
"77","93","95","96","80","85","86","1"
"98","95","89","89","91","97","88","1"
"79","83","77","76","91","95","76","0"
"93","82","86","85","100","83","79","1"
"83","98","97","92","77","84","86","1"
"96","95","76","92","79","89","93","1"
"83","86","90","93","83","79","99","1"
"82","87","89","81","99","93","97","1"
"78","84","86","78","94","77","79","0"
"96","90","93","95","84","100","87","1"
"83","94","85","87","92","82","90","1"
"90","82","89","84","92","88","85","1"
"95","87","98","83","92","86","76","1"
"89","93","76","81","79","85","85","0"
"87","77","93","84","100","95","93","1"
"77","100","89","87","92","99","85","1"
"97","77","96","84","97","94","92","1"
"80","82","99","81","100","87","87","1"
"96","93","86","82","95","81","83","1"
"88","90","77","97","84","82","83","1"
"97","100","83","95","88","81","98","1"
"83","96","92","98","98","93","94","1"
"87","77","78","77","93","79","87","0"
"93","80","96","96","81","93","92","1"
"79","83","94","90","92","100","100","1"
"93","92","97","94","87","82","97","1"
"76","87","77","96","91","81","91","1"
"86","98","78","90","88","84","82","1"
"89","80","97","96","85","85","85","1"
"79","100","100","95","95","86","98","1"
"92","96","99","79","79","93","98","1"
"99","80","95","90","83","78","77","1"
"76","95","99","92","80","95","96","1"
"87","86","98","79","91","91","99","1"
"78","82","77","77","98","81","98","0"
"92","96","94","99","84","97","93","1"
"76","90","76","93","85","100","91","1"
"77","94","90","79","83","80","82","0"
"99","93","87","88","81","100","93","1"
"91","78","83","96","99","86","92","1"
"84","83","87","87","78","94","89","1"
"90","82","87","78","82","84","80","0"
"96","76","88","87","89","100","94","1"
"94","85","78","82","100","83","98","1"
"86","77","78","83","79","95","86","0"
"89","100","81","100","79","95","88","1"
"89","80","98","81","91","86","76","1"
"87","90","81","93","89","100","95","1"
"77","83","79","88","92","85","79","0"
"91","97","90","93","78","78","90","1"
"76","78","94","97","87","99","78","1"
"77","85","93","81","90","81","87","0"
"88","97","84","85","89","83","85","1"
"93","80","89","93","78","95","77","1"
"96","81","88","79","79","95","77","1"
"89","84","94","84","77","87","90","1"
"98","83","100","99","96","79","89","1"
"96","83","77","94","86","95","93","1"
"84","83","77","92","82","88","89","0"
"81","83","91","97","86","94","83","1"
"99","86","99","94","84","91","96","1"
"86","80","82","93","93","100","82","1"
"82","76","98","93","84","92","82","1"
"76","89","84","80","76","84","91","0"
"100","96","90","95","79","87","98","1"
"90","95","82","94","100","96","79","1"
"95","78","82","93","77","96","90","1"
"100","82","83","76","84","100","80","1"
"97","88","89","96","96","89","100","1"
"81","76","82","89","80","95","92","0"
"99","77","95","93","82","84","96","1"
"90","87","95","76","77","85","93","1"
"100","81","99","91","94","91","99","1"
"96","82","89","87","78","82","79","1"
"91","87","82","96","76","89","97","1"
"78","97","80","77","79","82","97","0"
"90","80","100","89","79","88","78","1"
"90","93","85","93","93","93","88","1"
"92","98","90","80","85","87","81","1"
"94","79","81","84","92","87","97","1"
